"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Big Pine","5","1","36","6","10","3D",7.188,NA,26.784,5.999,12.03,33.184,"A",9.49,3,39.19,11.083,34.791,63.058,"A",10.487,4,48.982,13.359,51.841,80.364,"A",16.037,9,60.69,16.051,67.144,91.524,"A",26.377,11,102.815,30.129,145.354,149.532,0,0,0,0,0,13,"",0,"",8.5,11.4,6.031,23.708,38.482,51.093,115.225
"Big Pine","6","1","44","8","9","hand",5.8,NA,23.85644,5.58999,10.57206,29.74812,"A",13.596,8,48.275,18.098,38.486,62.563,"A",27.059,10,98.762,25.045,111.78,125.522,"A",30.225,12,93.245,28.834,113.766,131.907,"A",61.943,20,194.736,65.773,357.011,274.135,0,0,0,0,0,13,"",0,"",5.8,27.6,4.98207,20.388,86.735,84.932,291.238
"Big Pine","7","1","1","1","10","3D",6.131,NA,22.559,4.656,8.376,26.248,"A",11.963,10,35.653,8.483,26.523,49.376,"A",18.514,10,57.735,16.253,52.161,76.499,"A",28.965,15,70.694,17.992,74.263,94.379,"A",49.153,27,145.857,40.048,171.878,160.77,1,0,0,0,0,13,"",1,"",7.8,21.2,3.72,18.04,35.908,56.271,131.83
"Big Pine","8","1","31","5","9","3D",11.433,NA,43.285,11.696,28.344,55.532,"A",23.735,10,72.487,19.304,97.215,118.816,"D",0.519,1,1.66,0.071,0.379,3.95,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,6,"b",1,"",4.8,2,16.648,77.911,0.308,NA,NA
"Big Pine","9","1","7","3","9","3D",4.726,NA,19.814,3.473,6.389,21.613,"A",6.207,3,28.543,8.261,16.733,38.736,"A",14.67,8,54.852,15.315,51.679,78.595,"A",21.056,9,68.879,19.429,74.483,96.517,"A",29.173,14,120.083,38.28,164.435,161.678,0,0,0,0,0,13,"",0,"",5.9,17.6,2.916,8.472,36.364,55.054,126.155
"Big Pine","10","1","3","2","9","3D",5.377,NA,25.846,6.584,12.233,32.539,"A",12.274,8,44.321,10.674,42,69.876,"A",24.783,13,78.115,20.74,111.26,127.403,"A",33.525,15,89.476,18.865,134.995,140.158,"A",32.393,15,96.157,23.193,207.655,212.385,0,0,0,0,0,13,"",0,"",7.2,25.7,5.649,31.326,90.52,116.13,184.462
"Big Pine","11","2","44","8","12","3D",7.612,NA,20.447,3.569,11.921,31.682,"A",1.851,1,17.697,4.369,8.118,25.892,"A",3.138,2,24.11,7.219,16.182,41.846,"A",5.96,2,27.01,8.748,13.576,37.76,"A",15.923,10,68.728,32.728,70.249,90.47,1,0,0,0,0,13,"",1,"",8.1,3,8.352,3.749,8.963,4.828,37.521
"Big Pine","12","2","31","5","8","3D",6.254,NA,20.826,4.233,8.511,26.062,"A",12.61,7,39.339,8.857,32.642,60.632,"A",26.469,10,81.918,21.746,113.208,136.946,"A",19.774,10,52.249,8.084,44.541,71.362,"A",35.519,13,93.572,22.67,191.258,191.73,0,0,0,0,0,13,"",0,"partial mortality",7.1,25.1,4.278,23.785,91.462,36.457,168.588
"Big Pine","13","2","50","9","8","3D",7.457,NA,36.505,10.091,20.389,47.253,"A",15.614,9,55.766,9.965,28.477,58.142,"A",25.773,9,79.61,21.966,95.912,126.388,"A",31.957,14,89.685,17.202,146.104,156.872,"A",56.625,22,171.703,43.834,369.102,278.829,0,0,0,0,0,13,"",0,"",8.7,26.3,10.298,18.512,73.946,128.902,325.268
"Big Pine","14","2","36","6","9","3D",4.698,NA,19.322,3.56,6.749,22.915,"A",5.968,2,35.28,8.68,24.158,50.073,"A",15.943,7,68.709,21.774,100.684,124.545,"A",20.635,7,87.062,23.986,136.868,147.267,"A",32.094,12,134.758,52.281,225.52,197.872,0,0,0,0,0,13,"",0,"",5.7,13.2,3.189,15.478,78.91,112.882,173.239
